Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
classic-crew-tee,Classic Crew Tee,"<p>Our everyday crew neck tee, made from 100% combed cotton for a soft feel that holds up wash after wash.</p>",Shirt Shop,Shirts,"tee, crew neck, cotton, bestseller",TRUE,Color,White,Size,S,CCT-WHT-S,180,50,deny,manual,24.00,,TRUE,TRUE,,Classic Crew Tee - White,FALSE,Classic Crew Tee,Soft everyday crew neck tee in white.,active
classic-crew-tee,,,,,,,Color,White,Size,M,CCT-WHT-M,180,50,deny,manual,24.00,,TRUE,TRUE,,,,,,
classic-crew-tee,,,,,,,Color,White,Size,L,CCT-WHT-L,180,50,deny,manual,24.00,,TRUE,TRUE,,,,,,
classic-crew-tee,,,,,,,Color,White,Size,XL,CCT-WHT-XL,180,50,deny,manual,24.00,,TRUE,TRUE,,,,,,
classic-crew-tee,,,,,,,Color,Black,Size,S,CCT-BLK-S,180,50,deny,manual,24.00,,TRUE,TRUE,,,,,,
classic-crew-tee,,,,,,,Color,Black,Size,M,CCT-BLK-M,180,50,deny,manual,24.00,,TRUE,TRUE,,,,,,
classic-crew-tee,,,,,,,Color,Black,Size,L,CCT-BLK-L,180,50,deny,manual,24.00,,TRUE,TRUE,,,,,,
classic-crew-tee,,,,,,,Color,Black,Size,XL,CCT-BLK-XL,180,50,deny,manual,24.00,,TRUE,TRUE,,,,,,
graphic-logo-tee,Graphic Logo Tee,"<p>A relaxed-fit tee featuring our signature logo print on the chest. Ring-spun cotton for a smooth finish.</p>",Shirt Shop,Shirts,"tee, graphic, logo",TRUE,Size,S,,,GLT-S,190,40,deny,manual,28.00,32.00,TRUE,TRUE,,Graphic Logo Tee,FALSE,Graphic Logo Tee,Relaxed-fit graphic tee with signature logo print.,active
graphic-logo-tee,,,,,,,Size,M,,,GLT-M,190,40,deny,manual,28.00,32.00,TRUE,TRUE,,,,,,
graphic-logo-tee,,,,,,,Size,L,,,GLT-L,190,40,deny,manual,28.00,32.00,TRUE,TRUE,,,,,,
graphic-logo-tee,,,,,,,Size,XL,,,GLT-XL,190,40,deny,manual,28.00,32.00,TRUE,TRUE,,,,,,
long-sleeve-henley,Long Sleeve Henley,"<p>A classic henley with a three-button placket, ribbed cuffs, and a lightweight cotton-blend fabric.</p>",Shirt Shop,Shirts,"henley, long sleeve, layering",TRUE,Color,Navy,Size,S,LSH-NVY-S,220,30,deny,manual,34.00,,TRUE,TRUE,,Long Sleeve Henley - Navy,FALSE,Long Sleeve Henley,Classic three-button henley in navy or charcoal.,active
long-sleeve-henley,,,,,,,Color,Navy,Size,M,LSH-NVY-M,220,30,deny,manual,34.00,,TRUE,TRUE,,,,,,
long-sleeve-henley,,,,,,,Color,Navy,Size,L,LSH-NVY-L,220,30,deny,manual,34.00,,TRUE,TRUE,,,,,,
long-sleeve-henley,,,,,,,Color,Navy,Size,XL,LSH-NVY-XL,220,30,deny,manual,34.00,,TRUE,TRUE,,,,,,
